,INSTNM,CITY,STABBR,HIGHDEG,REGION,SATVR25,SATVR75,SATMT25,SATMT75,SAT_AVG_ALL
859,Greenville University,Greenville,IL,4,3,430.0,608.0,381.0,611.0,1034.0
866,University of Illinois Chicago,Chicago,IL,4,3,560.0,660.0,560.0,680.0,1242.0
869,University of Illinois Urbana-Champaign,Champaign,IL,4,3,630.0,730.0,640.0,780.0,1418.0
870,Illinois Wesleyan University,Bloomington,IL,3,3,570.0,660.0,570.0,670.0,1242.0
872,Illinois College,Jacksonville,IL,3,3,490.0,583.0,488.0,600.0,1082.0
874,Illinois Institute of Technology,Chicago,IL,4,3,570.0,690.0,610.0,720.0,1296.0
875,Illinois State University,Normal,IL,4,3,510.0,620.0,500.0,610.0,1127.0
881,Judson University,Elgin,IL,4,3,435.0,540.0,425.0,540.0,985.0
885,Knox College,Galesburg,IL,3,3,530.0,680.0,590.0,705.0,1250.0
888,Lake Forest College,Lake Forest,IL,4,3,590.0,685.0,580.0,680.0,1309.0
893,Lewis University,Romeoville,IL,4,3,490.0,610.0,500.0,610.0,1117.0
897,Loyola University Chicago,Chicago,IL,4,3,590.0,680.0,570.0,660.0,1283.0
907,Millikin University,Decatur,IL,4,3,450.0,600.0,410.0,570.0,1050.0
908,Monmouth College,Monmouth,IL,3,3,510.0,630.0,500.0,600.0,1128.0
916,North Central College,Naperville,IL,4,3,535.0,650.0,530.0,630.0,1165.0
920,Northwestern University,Evanston,IL,4,3,730.0,770.0,760.0,790.0,1526.0
924,Olivet Nazarene University,Bourbonnais,IL,4,3,480.0,600.0,480.0,590.0,1103.0
927,Principia College,Elsah,IL,3,3,510.0,640.0,530.0,610.0,1096.0
929,Quincy University,Quincy,IL,4,3,540.0,630.0,530.0,620.0,1157.0
933,Rockford University,Rockford,IL,4,3,450.0,535.0,400.0,535.0,984.0
934,Roosevelt University,Chicago,IL,4,3,430.0,550.0,390.0,540.0,1000.0
935,Dominican University,River Forest,IL,4,3,480.0,570.0,454.0,570.0,1022.0
938,University of St Francis,Joliet,IL,4,3,460.0,590.0,440.0,580.0,1055.0
941,University of Illinois Springfield,Springfield,IL,4,3,510.0,610.0,500.0,600.0,1118.0
952,Southern Illinois University-Carbondale,Carbondale,IL,4,3,470.0,580.0,440.0,560.0,1060.0
953,Southern Illinois University-Edwardsville,Edwardsville,IL,4,3,460.0,590.0,440.0,570.0,1063.0
957,Trinity Christian College,Palos Heights,IL,4,3,520.0,590.0,530.0,610.0,1154.0
964,Wheaton College,Wheaton,IL,4,3,650.0,720.0,610.0,720.0,1363.0
966,Anderson University,Anderson,IN,4,3,480.0,590.0,460.0,580.0,1054.0
967,Ball State University,Muncie,IN,4,3,550.0,630.0,530.0,620.0,1172.0
968,Bethel University,Mishawaka,IN,4,3,470.0,600.0,470.0,590.0,1073.0
969,Butler University,Indianapolis,IN,4,3,590.0,680.0,590.0,680.0,1282.0
975,DePauw University,Greencastle,IN,3,3,570.0,680.0,570.0,750.0,1287.0
977,Earlham College,Richmond,IN,4,3,608.0,690.0,570.0,673.0,1250.0
979,Franklin College,Franklin,IN,4,3,500.0,600.0,520.0,600.0,1119.0
980,Goshen College,Goshen,IN,4,3,420.0,570.0,430.0,563.0,1049.0
981,Grace College and Theological Seminary,Winona Lake,IN,4,3,480.0,600.0,470.0,600.0,1088.0
982,Hanover College,Hanover,IN,4,3,540.0,640.0,530.0,600.0,1197.0
984,Holy Cross College,Notre Dame,IN,3,3,490.0,660.0,490.0,640.0,1229.0
986,Huntington University,Huntington,IN,4,3,470.0,590.0,530.0,600.0,1124.0
988,Purdue University Fort Wayne,Fort Wayne,IN,4,3,480.0,600.0,480.0,590.0,1078.0
989,Indiana University-Indianapolis,Indianapolis,IN,4,3,520.0,620.0,520.0,610.0,1146.0
992,University of Southern Indiana,Evansville,IN,4,3,510.0,610.0,510.0,610.0,1131.0
994,Indiana University-Kokomo,Kokomo,IN,4,3,490.0,590.0,480.0,590.0,1063.0
995,Indiana University-South Bend,South Bend,IN,4,3,490.0,590.0,480.0,580.0,1072.0
996,Indiana University-Bloomington,Bloomington,IN,4,3,590.0,690.0,580.0,710.0,1308.0
997,Indiana University-Northwest,Gary,IN,4,3,480.0,580.0,460.0,590.0,1067.0
998,Indiana University-Southeast,New Albany,IN,4,3,510.0,610.0,500.0,580.0,1097.0
999,Indiana University-East,Richmond,IN,4,3,500.0,610.0,510.0,610.0,1135.0
1006,Indiana Wesleyan University-Marion,Marion,IN,4,3,490.0,600.0,480.0,580.0,1074.0
1011,University of Notre Dame,Notre Dame,IN,4,3,710.0,760.0,730.0,780.0,1510.0
1016,Rose-Hulman Institute of Technology,Terre Haute,IN,4,3,620.0,710.0,660.0,760.0,1389.0
1017,University of Saint Francis-Fort Wayne,Fort Wayne,IN,4,3,470.0,570.0,450.0,560.0,1040.0
1018,Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,4,3,440.0,540.0,435.0,530.0,966.0
1019,Saint Mary's College,Notre Dame,IN,4,3,560.0,650.0,540.0,660.0,1233.0
1021,Saint Elizabeth School of Nursing,Lafayette,IN,1,3,480.0,570.0,470.0,570.0,1020.0
1022,Taylor University,Upland,IN,4,3,540.0,670.0,530.0,670.0,1232.0
1024,Valparaiso University,Valparaiso,IN,4,3,540.0,660.0,540.0,650.0,1226.0
1027,Wabash College,Crawfordsville,IN,3,3,540.0,630.0,560.0,670.0,1210.0
1033,Central College,Pella,IA,3,4,490.0,580.0,445.0,625.0,1115.0
1034,Clarke University,Dubuque,IA,4,4,480.0,525.0,410.0,520.0,1060.0
1035,Coe College,Cedar Rapids,IA,3,4,520.0,660.0,560.0,620.0,1206.0
1036,Cornell College,Mount Vernon,IA,4,4,580.0,655.0,570.0,663.0,1246.0
1039,Dordt University,Sioux Center,IA,4,4,510.0,620.0,520.0,610.0,1175.0
1040,Drake University,Des Moines,IA,4,4,610.0,690.0,580.0,700.0,1288.0
1041,University of Dubuque,Dubuque,IA,4,4,470.0,580.0,480.0,580.0,1119.0
1043,Emmaus Bible College,Dubuque,IA,3,4,460.0,510.0,450.0,550.0,1109.0
1045,Faith Baptist Bible College and Theological Seminary,Ankeny,IA,4,4,460.0,620.0,480.0,560.0,1088.0
1048,Grinnell College,Grinnell,IA,3,4,698.0,760.0,720.0,790.0,1486.0
1057,Iowa State University,Ames,IA,4,4,550.0,660.0,560.0,690.0,1199.0
1059,University of Iowa,Iowa City,IA,4,4,570.0,660.0,560.0,660.0,1220.0
1066,Luther College,Decorah,IA,3,4,550.0,650.0,548.0,668.0,1238.0
1074,University of Northern Iowa,Cedar Falls,IA,4,4,460.0,580.0,400.0,630.0,1120.0
1090,Upper Iowa University,Fayette,IA,4,4,500.0,590.0,470.0,570.0,929.0
1092,Wartburg College,Waverly,IA,4,4,490.0,605.0,488.0,630.0,1136.0
1096,William Penn University,Oskaloosa,IA,4,4,440.0,540.0,390.0,560.0,996.0
1100,Benedictine College,Atchison,KS,4,4,560.0,660.0,557.0,650.0,1244.0
1113,Fort Hays State University,Hays,KS,4,4,490.0,600.0,480.0,600.0,1118.0
1115,Friends University,Wichita,KS,4,4,465.0,550.0,450.0,540.0,1014.0
1128,University of Kansas,Lawrence,KS,4,4,530.0,650.0,520.0,640.0,1186.0
1131,Kansas State University,Manhattan,KS,4,4,530.0,630.0,510.0,630.0,1149.0
1137,McPherson College,McPherson,KS,4,4,468.0,573.0,468.0,553.0,1068.0
1138,MidAmerica Nazarene University,Olathe,KS,4,4,463.0,570.0,465.0,548.0,1016.0
1142,Ottawa University-Ottawa,Ottawa,KS,4,4,460.0,590.0,420.0,550.0,1000.0
1146,University of Saint Mary,Leavenworth,KS,4,4,448.0,560.0,478.0,533.0,1047.0
1151,Tabor College,Hillsboro,KS,4,4,420.0,560.0,410.0,570.0,1049.0
1154,Wichita State University,Wichita,KS,4,4,490.0,630.0,480.0,620.0,1118.0
1160,Bellarmine University,Louisville,KY,4,5,535.0,613.0,540.0,630.0,1208.0
1161,Berea College,Berea,KY,3,5,588.0,680.0,568.0,655.0,1248.0
1167,Centre College,Danville,KY,3,5,610.0,683.0,620.0,740.0,1345.0
1172,Eastern Kentucky University,Richmond,KY,4,5,480.0,600.0,450.0,590.0,1089.0
1175,Georgetown College,Georgetown,KY,4,5,520.0,610.0,510.0,620.0,1149.0
1185,Kentucky State University,Frankfort,KY,4,5,420.0,500.0,400.0,510.0,910.0
1186,Kentucky Wesleyan College,Owensboro,KY,3,5,430.0,550.0,320.0,580.0,1043.0
1187,University of Kentucky,Lexington,KY,4,5,550.0,640.0,530.0,650.0,1213.0
1188,Kentucky Christian University,Grayson,KY,4,5,450.0,510.0,450.0,530.0,1044.0
1191,University of Louisville,Louisville,KY,4,5,510.0,630.0,510.0,620.0,1147.0
1195,Midway University,Midway,KY,4,5,530.0,590.0,500.0,530.0,1145.0
1197,Murray State University,Murray,KY,4,5,480.0,600.0,470.0,590.0,1110.0
1199,Northern Kentucky University,Highland Heights,KY,4,5,458.0,573.0,458.0,560.0,1114.0
1209,The Southern Baptist Theological Seminary,Louisville,KY,4,5,528.0,613.0,500.0,590.0,1118.0
1210,Spalding University,Louisville,KY,4,5,428.0,570.0,425.0,533.0,1014.0
1212,Thomas More University,Crestview Hills,KY,4,5,510.0,590.0,490.0,560.0,1140.0
1213,Transylvania University,Lexington,KY,3,5,570.0,670.0,530.0,620.0,1285.0
1214,Union College,Barbourville,KY,4,5,460.0,560.0,460.0,545.0,965.0
1215,Western Kentucky University,Bowling Green,KY,4,5,450.0,520.0,370.0,490.0,977.0
1220,Centenary College of Louisiana,Shreveport,LA,4,5,520.0,620.0,520.0,590.0,1171.0
1226,Dillard University,New Orleans,LA,3,5,503.0,590.0,473.0,563.0,1089.0
1228,Grambling State University,Grambling,LA,4,5,450.0,590.0,410.0,560.0,955.0
1233,Louisiana State University-Alexandria,Alexandria,LA,3,5,450.0,580.0,430.0,560.0,1048.0
1234,Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,4,5,590.0,670.0,560.0,660.0,1248.0
1236,Louisiana State University-Shreveport,Shreveport,LA,4,5,530.0,590.0,470.0,560.0,1119.0
1242,Louisiana Tech University,Ruston,LA,4,5,500.0,630.0,545.0,660.0,1190.0
1244,McNeese State University,Lake Charles,LA,4,5,430.0,560.0,380.0,560.0,1080.0
1245,University of New Orleans,New Orleans,LA,4,5,470.0,650.0,490.0,670.0,1056.0
1247,Nicholls State University,Thibodaux,LA,4,5,490.0,600.0,438.0,545.0,1088.0
1248,University of Louisiana at Monroe,Monroe,LA,4,5,520.0,620.0,530.0,730.0,1102.0
1250,Northwestern State University of Louisiana,Natchitoches,LA,4,5,495.0,620.0,430.0,623.0,1090.0
1264,Southern University and A & M College,Baton Rouge,LA,4,5,418.0,510.0,380.0,490.0,938.0
1267,University of Louisiana at Lafayette,Lafayette,LA,4,5,560.0,645.0,560.0,610.0,1219.0
1269,Tulane University of Louisiana,New Orleans,LA,4,5,690.0,750.0,700.0,760.0,1443.0
1270,Xavier University of Louisiana,New Orleans,LA,4,5,500.0,568.0,453.0,570.0,1077.0
1272,Bates College,Lewiston,ME,3,1,700.0,740.0,700.0,770.0,1446.0
1274,Bowdoin College,Brunswick,ME,3,1,730.0,760.0,750.0,790.0,1514.0
1275,Maine College of Health Professions,Lewiston,ME,3,1,430.0,480.0,420.0,490.0,910.0
1277,Colby College,Waterville,ME,3,1,710.0,760.0,730.0,790.0,1500.0
1282,University of Maine at Farmington,Farmington,ME,4,1,510.0,615.0,405.0,595.0,1040.0
1285,Maine Maritime Academy,Castine,ME,4,1,540.0,640.0,530.0,630.0,1185.0
1291,Saint Joseph's College of Maine,Standish,ME,4,1,470.0,580.0,440.0,560.0,1030.0
1294,University of Southern Maine,Portland,ME,4,1,505.0,640.0,490.0,640.0,1130.0
1303,University of Baltimore,Baltimore,MD,4,2,530.0,580.0,480.0,530.0,1060.0
1304,Bowie State University,Bowie,MD,4,2,423.0,540.0,373.0,543.0,935.0
1309,Washington Adventist University,Takoma Park,MD,4,2,400.0,590.0,400.0,510.0,920.0
1316,Goucher College,Baltimore,MD,4,2,560.0,683.0,520.0,683.0,1225.0
1322,Johns Hopkins University,Baltimore,MD,4,2,750.0,780.0,780.0,800.0,1553.0
1324,Loyola University Maryland,Baltimore,MD,4,2,610.0,690.0,570.0,660.0,1292.0
1327,University of Maryland-Baltimore County,Baltimore,MD,4,2,610.0,700.0,610.0,710.0,1299.0
1328,University of Maryland-College Park,College Park,MD,4,2,670.0,740.0,700.0,780.0,1463.0
1329,Maryland Institute College of Art,Baltimore,MD,4,2,455.0,580.0,460.0,640.0,1207.0
1334,Morgan State University,Baltimore,MD,4,2,410.0,530.0,450.0,550.0,984.0
1335,Mount St. Mary's University,Emmitsburg,MD,4,2,520.0,660.0,510.0,620.0,1141.0
1341,Salisbury University,Salisbury,MD,4,2,600.0,670.0,580.0,640.0,1250.0
1342,St. Mary's College of Maryland,St. Mary's City,MD,4,2,570.0,690.0,540.0,640.0,1232.0
1343,St. John's College,Annapolis,MD,4,2,650.0,760.0,600.0,740.0,1381.0
