,INSTNM,CITY,STABBR,HIGHDEG,REGION,SATVR25,SATVR75,SATMT25,SATMT75,SAT_AVG_ALL
1426,Fisher College,Boston,MA,4,1,420.0,530.0,380.0,540.0,952.0
1427,Fitchburg State University,Fitchburg,MA,4,1,490.0,590.0,490.0,590.0,1082.0
1428,Framingham State University,Framingham,MA,4,1,490.0,605.0,500.0,570.0,1092.0
1430,Gordon College,Wenham,MA,4,1,588.0,700.0,565.0,670.0,1267.0
1434,Harvard University,Cambridge,MA,4,1,730.0,780.0,750.0,800.0,1534.0
1437,College of the Holy Cross,Worcester,MA,3,1,630.0,710.0,610.0,710.0,1346.0
1439,Lasell University,Newton,MA,4,1,570.0,705.0,510.0,620.0,1217.0
1444,University of Massachusetts-Lowell,Lowell,MA,4,1,580.0,660.0,590.0,680.0,1261.0
1445,University of Massachusetts-Amherst,Amherst,MA,4,1,620.0,710.0,630.0,750.0,1362.0
1446,University of Massachusetts-Boston,Boston,MA,4,1,530.0,640.0,530.0,640.0,1182.0
1448,MCPHS University,Boston,MA,4,1,540.0,670.0,550.0,720.0,1245.0
1460,Mount Holyoke College,South Hadley,MA,4,1,660.0,750.0,640.0,760.0,1430.0
1466,Nichols College,Dudley,MA,4,1,480.0,570.0,490.0,590.0,1076.0
1470,Northeastern University,Boston,MA,4,1,700.0,760.0,730.0,790.0,1500.0
1472,College of Our Lady of the Elms,Chicopee,MA,4,1,530.0,605.0,520.0,590.0,1123.0
1481,Simmons University,Boston,MA,4,1,600.0,700.0,540.0,660.0,1268.0
1483,Smith College,Northampton,MA,4,1,690.0,760.0,680.0,770.0,1456.0
1485,Springfield College,Springfield,MA,4,1,550.0,660.0,560.0,660.0,1222.0
1487,University of Massachusetts-Dartmouth,North Dartmouth,MA,4,1,510.0,630.0,520.0,630.0,1144.0
1489,Suffolk University,Boston,MA,4,1,550.0,650.0,530.0,630.0,1188.0
1491,Tufts University,Medford,MA,4,1,710.0,760.0,730.0,790.0,1506.0
1492,Wellesley College,Wellesley,MA,3,1,710.0,760.0,690.0,780.0,1468.0
1493,Wentworth Institute of Technology,Boston,MA,4,1,560.0,660.0,580.0,670.0,1241.0
1494,Western New England University,Springfield,MA,4,1,560.0,640.0,568.0,640.0,1209.0
1495,Westfield State University,Westfield,MA,4,1,490.0,600.0,490.0,590.0,1084.0
1496,Wheaton College (Massachusetts),Norton,MA,3,1,590.0,690.0,570.0,670.0,1280.0
1499,Worcester State University,Worcester,MA,4,1,510.0,600.0,520.0,593.0,1113.0
1500,Adrian College,Adrian,MI,4,3,480.0,580.0,460.0,570.0,1064.0
1506,Andrews University,Berrien Springs,MI,4,3,530.0,660.0,520.0,640.0,1180.0
1507,Aquinas College,Grand Rapids,MI,4,3,510.0,600.0,490.0,570.0,1092.0
1511,Calvin University,Grand Rapids,MI,4,3,560.0,670.0,560.0,670.0,1246.0
1515,Central Michigan University,Mount Pleasant,MI,4,3,510.0,620.0,500.0,600.0,1120.0
1518,Cleary University,Howell,MI,4,3,470.0,590.0,480.0,580.0,1059.0
1527,University of Detroit Mercy,Detroit,MI,4,3,530.0,620.0,530.0,630.0,1172.0
1529,Eastern Michigan University,Ypsilanti,MI,4,3,470.0,600.0,460.0,580.0,1061.0
1531,Ferris State University,Big Rapids,MI,4,3,470.0,580.0,460.0,570.0,1047.0
1533,Kettering University,Flint,MI,4,3,570.0,660.0,570.0,680.0,1257.0
1536,Cornerstone University,Grand Rapids,MI,4,3,490.0,620.0,480.0,600.0,1109.0
1541,Hillsdale College,Hillsdale,MI,4,3,680.0,760.0,660.0,750.0,1441.0
1542,Hope College,Holland,MI,3,3,550.0,670.0,550.0,660.0,1240.0
1544,Kalamazoo College,Kalamazoo,MI,3,3,590.0,690.0,570.0,690.0,1275.0
1550,Lake Superior State University,Sault Ste Marie,MI,3,3,480.0,590.0,470.0,570.0,1069.0
1555,Madonna University,Livonia,MI,4,3,450.0,570.0,440.0,570.0,1034.0
1559,Michigan State University,East Lansing,MI,4,3,550.0,650.0,550.0,670.0,1220.0
1560,Michigan Technological University,Houghton,MI,4,3,560.0,660.0,570.0,675.0,1256.0
1561,University of Michigan-Dearborn,Dearborn,MI,4,3,520.0,640.0,530.0,660.0,1180.0
1562,University of Michigan-Flint,Flint,MI,4,3,515.0,640.0,500.0,610.0,1141.0
1572,Oakland University,Rochester Hills,MI,4,3,490.0,620.0,480.0,610.0,1117.0
1573,The University of Olivet,Olivet,MI,4,3,460.0,560.0,450.0,560.0,1019.0
1580,Saginaw Valley State University,University Center,MI,4,3,490.0,600.0,470.0,570.0,1069.0
1593,Wayne State University,Detroit,MI,4,3,520.0,630.0,510.0,630.0,1155.0
1596,Western Michigan University,Kalamazoo,MI,4,3,510.0,620.0,490.0,600.0,1122.0
1602,Augsburg University,Minneapolis,MN,4,4,560.0,623.0,628.0,753.0,1074.0
1607,Bethel University,Saint Paul,MN,4,4,580.0,673.0,543.0,670.0,1188.0
1609,Carleton College,Northfield,MN,3,4,698.0,760.0,710.0,790.0,1482.0
1610,Concordia College at Moorhead,Moorhead,MN,4,4,560.0,630.0,520.0,588.0,1150.0
1613,Martin Luther College,New Ulm,MN,4,4,540.0,640.0,540.0,610.0,1187.0
1619,Hamline University,Saint Paul,MN,4,4,610.0,670.0,560.0,610.0,1140.0
1627,Macalester College,Saint Paul,MN,3,4,680.0,750.0,660.0,765.0,1421.0
1633,University of Minnesota-Twin Cities,Minneapolis,MN,4,4,640.0,730.0,670.0,760.0,1368.0
1639,University of Minnesota-Duluth,Duluth,MN,4,4,590.0,630.0,570.0,640.0,1220.0
1642,Minnesota State University Moorhead,Moorhead,MN,4,4,510.0,580.0,530.0,600.0,1120.0
1653,College of Saint Benedict,Saint Joseph,MN,3,4,560.0,630.0,550.0,590.0,1170.0
1656,Saint Johns University,Collegeville,MN,4,4,540.0,620.0,545.0,620.0,1213.0
1658,St Olaf College,Northfield,MN,3,4,620.0,720.0,620.0,710.0,1381.0
1660,The College of Saint Scholastica,Duluth,MN,4,4,555.0,650.0,555.0,660.0,1205.0
1661,University of St Thomas,Saint Paul,MN,4,4,560.0,680.0,560.0,700.0,1222.0
1663,St Catherine University,Saint Paul,MN,4,4,510.0,600.0,380.0,610.0,1133.0
1673,Winona State University,Winona,MN,4,4,450.0,650.0,520.0,630.0,1120.0
1676,Alcorn State University,Alcorn State,MS,4,5,433.0,538.0,420.0,535.0,1086.0
1677,Belhaven University,Jackson,MS,4,5,490.0,660.0,490.0,600.0,1106.0
1678,Blue Mountain Christian University,Blue Mountain,MS,4,5,520.0,550.0,520.0,610.0,1068.0
1682,Delta State University,Cleveland,MS,4,5,470.0,600.0,480.0,590.0,1020.0
1690,Jackson State University,Jackson,MS,4,5,420.0,440.0,520.0,540.0,975.0
1693,Millsaps College,Jackson,MS,4,5,610.0,699.0,525.0,655.0,1208.0
1695,University of Mississippi,University,MS,4,5,515.0,620.0,510.0,605.0,1201.0
1696,Mississippi University for Women,Columbus,MS,4,5,440.0,610.0,410.0,570.0,1083.0
1701,Mississippi State University,Mississippi State,MS,4,5,520.0,640.0,510.0,640.0,1228.0
1709,Tougaloo College,Tougaloo,MS,4,5,380.0,550.0,410.0,540.0,992.0
1712,William Carey University,Hattiesburg,MS,4,5,530.0,680.0,450.0,640.0,1217.0
1714,Avila University,Kansas City,MO,4,4,480.0,570.0,453.0,590.0,1050.0
1718,Calvary University,Kansas City,MO,4,4,420.0,680.0,450.0,690.0,1068.0
1721,Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,3,4,448.0,553.0,460.0,565.0,1058.0
1728,Cottey College,Nevada,MO,3,4,510.0,580.0,520.0,540.0,1096.0
1731,Culver-Stockton College,Canton,MO,4,4,500.0,550.0,470.0,530.0,1102.0
1732,Drury University,Springfield,MO,4,4,530.0,650.0,520.0,620.0,1249.0
1740,Hannibal-LaGrange University,Hannibal,MO,4,4,532.0,638.0,538.0,679.0,1116.0
1753,Lindenwood University,Saint Charles,MO,4,4,440.0,610.0,420.0,600.0,1138.0
1758,Maryville University of Saint Louis,Saint Louis,MO,4,4,500.0,620.0,500.0,610.0,1132.0
1763,Missouri Baptist University,Saint Louis,MO,4,4,460.0,570.0,410.0,540.0,1124.0
1764,Missouri Southern State University,Joplin,MO,4,4,470.0,560.0,480.0,610.0,1083.0
1765,Missouri Valley College,Marshall,MO,4,4,390.0,540.0,360.0,560.0,970.0
1767,University of Missouri-Columbia,Columbia,MO,4,4,570.0,680.0,560.0,670.0,1263.0
1768,University of Missouri-Kansas City,Kansas City,MO,4,4,570.0,743.0,573.0,763.0,1239.0
1769,Missouri University of Science and Technology,Rolla,MO,4,4,610.0,710.0,680.0,750.0,1345.0
1770,University of Missouri-St Louis,Saint Louis,MO,4,4,490.0,660.0,530.0,640.0,1225.0
1774,Truman State University,Kirksville,MO,4,4,553.0,650.0,540.0,640.0,1278.0
1775,Northwest Missouri State University,Maryville,MO,4,4,470.0,560.0,483.0,573.0,1104.0
1777,College of the Ozarks,Point Lookout,MO,3,4,520.0,623.0,490.0,590.0,1133.0
1783,Rockhurst University,Kansas City,MO,4,4,540.0,638.0,543.0,650.0,1139.0
1785,Saint Louis University,Saint Louis,MO,4,4,620.0,710.0,600.0,720.0,1355.0
1789,University of Health Sciences and Pharmacy in St. Louis,Saint Louis,MO,4,4,530.0,620.0,580.0,620.0,1185.0
1792,Southwest Baptist University,Bolivar,MO,4,4,480.0,600.0,520.0,610.0,1101.0
1796,Stephens College,Columbia,MO,4,4,520.0,630.0,510.0,540.0,1086.0
1798,Missouri State University-Springfield,Springfield,MO,4,4,510.0,600.0,500.0,600.0,1146.0
1802,Washington University in St Louis,Saint Louis,MO,4,4,730.0,770.0,760.0,800.0,1524.0
1803,Webster University,Saint Louis,MO,4,4,523.0,640.0,510.0,610.0,1166.0
1804,Westminster College,Fulton,MO,3,4,460.0,580.0,420.0,580.0,1079.0
1805,William Jewell College,Liberty,MO,4,4,560.0,650.0,530.0,620.0,1189.0
1812,Carroll College,Helena,MT,4,7,560.0,640.0,540.0,640.0,1200.0
1820,University of Providence,Great Falls,MT,4,7,590.0,630.0,550.0,650.0,1070.0
1824,Montana Technological University,Butte,MT,4,7,540.0,660.0,550.0,630.0,1172.0
1825,Montana State University,Bozeman,MT,4,7,540.0,650.0,530.0,650.0,1176.0
1826,The University of Montana,Missoula,MT,4,7,540.0,660.0,530.0,620.0,1126.0
1828,Rocky Mountain College,Billings,MT,4,7,500.0,600.0,475.0,580.0,1097.0
1838,Concordia University-Nebraska,Seward,NE,4,4,500.0,640.0,500.0,610.0,1151.0
1839,Creighton University,Omaha,NE,4,4,580.0,680.0,550.0,690.0,1300.0
1844,University of Nebraska at Kearney,Kearney,NE,4,4,468.0,580.0,470.0,553.0,1097.0
1848,Midland University,Fremont,NE,4,4,475.0,570.0,430.0,580.0,1076.0
1852,Nebraska Wesleyan University,Lincoln,NE,4,4,520.0,630.0,520.0,660.0,1246.0
1853,University of Nebraska-Lincoln,Lincoln,NE,4,4,550.0,660.0,540.0,660.0,1219.0
1859,Union Adventist University,Lincoln,NE,4,4,510.0,590.0,470.0,540.0,1082.0
1863,York University,York,NE,4,4,410.0,570.0,380.0,590.0,995.0
1869,University of Nevada-Reno,Reno,NV,4,8,530.0,640.0,530.0,630.0,1153.0
1871,Sierra Nevada University,Incline Village,NV,4,8,440.0,600.0,480.0,600.0,1050.0
1875,Dartmouth College,Hanover,NH,4,1,710.0,770.0,730.0,790.0,1508.0
1887,University of New Hampshire-Main Campus,Durham,NH,4,1,560.0,660.0,550.0,640.0,1214.0
1888,Keene State College,Keene,NH,4,1,500.0,600.0,470.0,570.0,1079.0
1889,University of New Hampshire at Manchester,Manchester,NH,3,1,570.0,640.0,540.0,630.0,1214.0
1900,Saint Anselm College,Manchester,NH,3,1,570.0,670.0,570.0,650.0,1234.0
1911,Bloomfield College,Bloomfield,NJ,4,2,390.0,532.0,427.0,532.0,941.0
1914,Caldwell University,Caldwell,NJ,4,2,500.0,610.0,500.0,700.0,1155.0
1916,Centenary University,Hackettstown,NJ,4,2,540.0,610.0,450.0,560.0,1066.0
1927,Felician University,Lodi,NJ,4,2,440.0,560.0,450.0,580.0,1020.0
1930,Georgian Court University,Lakewood,NJ,4,2,470.0,580.0,510.0,595.0,1121.0
1931,Rowan University,Glassboro,NJ,4,2,540.0,640.0,530.0,640.0,1181.0
1937,New Jersey City University,Jersey City,NJ,4,2,440.0,570.0,450.0,570.0,1015.0
1939,Kean University,Union,NJ,4,2,460.0,570.0,460.0,550.0,1023.0
1944,Monmouth University,West Long Branch,NJ,4,2,540.0,630.0,530.0,620.0,1161.0
1945,Montclair State University,Montclair,NJ,4,2,500.0,610.0,510.0,600.0,1110.0
1950,New Jersey Institute of Technology,Newark,NJ,4,2,580.0,690.0,600.0,740.0,1314.0
1957,Princeton University,Princeton,NJ,4,2,720.0,770.0,740.0,800.0,1517.0
1959,Ramapo College of New Jersey,Mahwah,NJ,4,2,550.0,640.0,550.0,640.0,1197.0
1961,Rider University,Lawrenceville,NJ,4,2,530.0,640.0,520.0,630.0,1194.0
1962,Rutgers University-Camden,Camden,NJ,4,2,520.0,610.0,520.0,620.0,1332.0
1963,Rutgers University-New Brunswick,New Brunswick,NJ,4,2,610.0,710.0,630.0,760.0,1332.0
1964,Rutgers University-Newark,Newark,NJ,4,2,510.0,620.0,520.0,650.0,1332.0
1967,Saint Peter's University,Jersey City,NJ,4,2,490.0,580.0,480.0,570.0,1070.0
1969,Seton Hall University,South Orange,NJ,4,2,600.0,680.0,600.0,690.0,1298.0
1973,Stevens Institute of Technology,Hoboken,NJ,4,2,670.0,730.0,700.0,780.0,1446.0
1974,Stockton University,Galloway,NJ,4,2,530.0,630.0,520.0,620.0,1154.0
1978,The College of New Jersey,Ewing,NJ,4,2,580.0,670.0,590.0,680.0,1270.0
1986,Eastern New Mexico University-Main Campus,Portales,NM,4,6,430.0,570.0,430.0,530.0,1002.0
1993,New Mexico Institute of Mining and Technology,Socorro,NM,4,6,550.0,660.0,560.0,660.0,1233.0
1999,New Mexico State University-Main Campus,Las Cruces,NM,4,6,470.0,580.0,450.0,560.0,1040.0
2012,Adelphi University,Garden City,NY,4,2,540.0,650.0,540.0,660.0,1200.0
2015,Albany College of Pharmacy and Health Sciences,Albany,NY,4,2,590.0,690.0,580.0,700.0,1295.0
2018,Alfred University,Alfred,NY,4,2,540.0,630.0,530.0,670.0,1188.0
2030,Barnard College,New York,NY,3,2,710.0,770.0,715.0,780.0,1484.0
2045,Canisius University,Buffalo,NY,4,2,520.0,620.0,530.0,630.0,1174.0
2049,Cazenovia College,Cazenovia,NY,3,2,492.0,602.0,465.0,575.0,1067.0
2053,Clarkson University,Potsdam,NY,4,2,580.0,680.0,600.0,700.0,1289.0
2057,Colgate University,Hamilton,NY,4,2,670.0,740.0,680.0,760.0,1448.0
2059,Columbia University in the City of New York,New York,NY,4,2,720.0,770.0,750.0,800.0,1528.0
2064,Cornell University,Ithaca,NY,4,2,700.0,760.0,750.0,800.0,1510.0
2089,D'Youville  University,Buffalo,NY,4,2,500.0,605.0,530.0,620.0,1135.0
2092,Dominican University New York,Orangeburg,NY,4,2,500.0,563.0,493.0,560.0,1058.0
2100,Fordham University,Bronx,NY,4,2,650.0,730.0,650.0,750.0,1402.0
2105,Hamilton College,Clinton,NY,3,2,700.0,760.0,710.0,780.0,1492.0
2106,Hartwick College,Oneonta,NY,3,2,520.0,610.0,480.0,610.0,1147.0
2109,Hilbert College,Hamburg,NY,4,2,460.0,570.0,438.0,543.0,1006.0
2110,Hobart William Smith Colleges,Geneva,NY,4,2,580.0,690.0,590.0,680.0,1285.0
2111,Hofstra University,Hempstead,NY,4,2,590.0,680.0,590.0,690.0,1288.0
2112,Houghton University,Houghton,NY,4,2,540.0,660.0,540.0,630.0,1193.0
2115,Iona University,New Rochelle,NY,4,2,530.0,630.0,530.0,630.0,1176.0
2122,Jewish Theological Seminary of America,New York,NY,4,2,683.0,730.0,663.0,758.0,1449.0
2125,Keuka College,Keuka Park,NY,4,2,515.0,610.0,493.0,640.0,1144.0
2127,Le Moyne College,Syracuse,NY,4,2,570.0,640.0,570.0,650.0,1224.0
2128,Long Island University,Brookville,NY,4,2,550.0,660.0,550.0,660.0,1219.0
2135,Manhattanville College,Purchase,NY,4,2,540.0,610.0,480.0,620.0,1161.0
2138,Marist College,Poughkeepsie,NY,4,2,613.0,680.0,583.0,680.0,1282.0
2139,Marymount Manhattan College,New York,NY,3,2,530.0,650.0,520.0,603.0,1168.0
2143,Mercy University,Dobbs Ferry,NY,4,2,450.0,590.0,460.0,600.0,1061.0
2152,Molloy College,Rockville Centre,NY,4,2,520.0,650.0,590.0,670.0,1235.0
2155,Mount Saint Mary College,Newburgh,NY,4,2,500.0,580.0,500.0,590.0,1087.0
2157,University of Mount Saint Vincent,Bronx,NY,4,2,490.0,630.0,510.0,600.0,1102.0
2169,New York University,New York,NY,4,2,700.0,770.0,750.0,800.0,1507.0
2171,Niagara University,Niagara University,NY,4,2,520.0,620.0,530.0,623.0,1160.0
2175,New York Institute of Technology,Old Westbury,NY,4,2,540.0,640.0,560.0,680.0,1218.0
2177,Alliance University,New York,NY,4,2,435.0,545.0,413.0,548.0,989.0
2182,Pace University,New York,NY,4,2,570.0,660.0,550.0,650.0,1219.0
2187,Pratt Institute-Main,Brooklyn,NY,4,2,610.0,700.0,580.0,710.0,1315.0
2194,Rensselaer Polytechnic Institute,Troy,NY,4,2,660.0,740.0,700.0,780.0,1450.0
2195,Roberts Wesleyan University,Rochester,NY,4,2,500.0,620.0,520.0,630.0,1154.0
2196,Rochester Institute of Technology,Rochester,NY,4,2,630.0,710.0,640.0,740.0,1369.0
2197,University of Rochester,Rochester,NY,4,2,660.0,740.0,710.0,780.0,1455.0
2203,St Bonaventure University,Saint Bonaventure,NY,4,2,530.0,630.0,540.0,640.0,1174.0
2204,St. Francis College,Brooklyn,NY,4,2,500.0,620.0,490.0,620.0,1121.0
2206,St Lawrence University,Canton,NY,4,2,620.0,710.0,600.0,690.0,1326.0
2208,St. Thomas Aquinas College,Sparkill,NY,4,2,520.0,615.0,515.0,620.0,1159.0
2210,Sarah Lawrence College,Bronxville,NY,4,2,670.0,750.0,590.0,720.0,1376.0
2214,Skidmore College,Saratoga Springs,NY,3,2,630.0,720.0,640.0,720.0,1373.0
2215,St. Joseph's University-New York,Brooklyn,NY,4,2,530.0,615.0,530.0,635.0,1165.0
2218,St. John Fisher University,Rochester,NY,4,2,550.0,630.0,560.0,640.0,1196.0
2220,St. John's University-New York,Queens,NY,4,2,550.0,650.0,550.0,660.0,1210.0
2223,SUNY College of Technology at Canton,Canton,NY,3,2,500.0,580.0,500.0,580.0,1078.0
2225,SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,3,2,490.0,590.0,480.0,580.0,1064.0
2226,Farmingdale State College,Farmingdale,NY,4,2,500.0,590.0,510.0,600.0,1106.0
2228,University at Albany,Albany,NY,4,2,550.0,640.0,540.0,640.0,1190.0
2229,Binghamton University,Vestal,NY,4,2,650.0,720.0,660.0,750.0,1398.0
2230,University at Buffalo,Buffalo,NY,4,2,580.0,660.0,600.0,700.0,1276.0
2231,Stony Brook University,Stony Brook,NY,4,2,630.0,710.0,670.0,770.0,1393.0
2233,SUNY Polytechnic Institute,Utica,NY,4,2,520.0,680.0,520.0,720.0,1229.0
2234,SUNY Brockport,Brockport,NY,4,2,510.0,610.0,530.0,620.0,1147.0
2235,SUNY Buffalo State University,Buffalo,NY,4,2,460.0,570.0,470.0,590.0,1045.0
2236,State University of New York at Cortland,Cortland,NY,4,2,540.0,620.0,550.0,620.0,1169.0
2237,SUNY at Fredonia,Fredonia,NY,4,2,540.0,650.0,550.0,630.0,1197.0
2238,SUNY College at Geneseo,Geneseo,NY,4,2,570.0,660.0,590.0,660.0,1250.0
2239,State University of New York at New Paltz,New Paltz,NY,4,2,580.0,668.0,570.0,650.0,1243.0
2241,State University of New York at Oswego,Oswego,NY,4,2,530.0,640.0,530.0,640.0,1182.0
2243,SUNY at Purchase College,Purchase,NY,4,2,580.0,670.0,540.0,650.0,1242.0
2245,SUNY Old Westbury,Old Westbury,NY,4,2,550.0,640.0,520.0,620.0,1165.0
2246,SUNY College at Plattsburgh,Plattsburgh,NY,4,2,520.0,620.0,530.0,620.0,1154.0
2249,SUNY Maritime College,Throggs Neck,NY,4,2,550.0,638.0,550.0,650.0,1201.0
2252,Syracuse University,Syracuse,NY,4,2,610.0,690.0,610.0,710.0,1328.0
2262,Union College,Schenectady,NY,3,2,630.0,710.0,640.0,740.0,1366.0
2265,United States Merchant Marine Academy,Kings Point,NY,4,0,570.0,660.0,580.0,670.0,1252.0
2266,United States Military Academy,West  Point,NY,3,0,600.0,700.0,600.0,740.0,1355.0
2268,Vassar College,Poughkeepsie,NY,3,2,710.0,760.0,710.0,780.0,1480.0
2269,Villa Maria College,Buffalo,NY,3,2,440.0,580.0,360.0,530.0,955.0
2270,School of Visual Arts,New York,NY,4,2,560.0,700.0,580.0,663.0,1251.0
2272,Webb Institute,Glen Cove,NY,3,2,670.0,740.0,720.0,770.0,1463.0
2287,Appalachian State University,Boone,NC,4,5,570.0,650.0,560.0,650.0,1255.0
2289,Barton College,Wilson,NC,4,5,490.0,560.0,480.0,590.0,1054.0
2291,Belmont Abbey College,Belmont,NC,3,5,528.0,623.0,500.0,583.0,1107.0
2297,Cabarrus College of Health Sciences,Concord,NC,4,5,485.0,600.0,460.0,545.0,1088.0
2299,Campbell University,Buies Creek,NC,4,5,520.0,630.0,510.0,600.0,1124.0
2302,Catawba College,Salisbury,NC,3,5,480.0,590.0,510.0,560.0,1097.0
2306,Chowan University,Murfreesboro,NC,3,5,425.0,525.0,450.0,555.0,971.0
2312,Duke University,Durham,NC,4,5,725.0,765.0,743.0,793.0,1516.0
2316,Elizabeth City State University,Elizabeth City,NC,4,5,450.0,550.0,410.0,520.0,951.0
2319,Fayetteville State University,Fayetteville,NC,4,5,440.0,520.0,390.0,520.0,923.0
2321,Gardner-Webb University,Boiling Springs,NC,4,5,485.0,605.0,475.0,610.0,1086.0
2324,Guilford College,Greensboro,NC,4,5,470.0,630.0,480.0,570.0,1055.0
2329,High Point University,High Point,NC,4,5,565.0,650.0,540.0,650.0,1218.0
2334,Lees-McRae College,Banner Elk,NC,4,5,530.0,650.0,510.0,590.0,1146.0
2338,Livingstone College,Salisbury,NC,3,5,420.0,500.0,390.0,488.0,877.0
2344,Meredith College,Raleigh,NC,4,5,560.0,650.0,538.0,623.0,1228.0
2345,Methodist University,Fayetteville,NC,4,5,550.0,620.0,560.0,610.0,1178.0
2350,Montreat College,Montreat,NC,4,5,500.0,630.0,530.0,590.0,1164.0
2351,University of Mount Olive,Mount Olive,NC,4,5,490.0,570.0,500.0,580.0,1022.0
2354,North Carolina A & T State University,Greensboro,NC,4,5,500.0,590.0,490.0,580.0,1038.0
2355,University of North Carolina Asheville,Asheville,NC,4,5,580.0,690.0,550.0,640.0,1233.0
2356,University of North Carolina at Chapel Hill,Chapel Hill,NC,4,5,570.0,680.0,570.0,700.0,1214.0
2357,University of North Carolina at Charlotte,Charlotte,NC,4,5,560.0,650.0,560.0,670.0,1184.0
2358,University of North Carolina at Greensboro,Greensboro,NC,4,5,565.0,650.0,530.0,610.0,1172.0
2359,North Carolina Central University,Durham,NC,4,5,480.0,600.0,450.0,550.0,1010.0
2360,University of North Carolina School of the Arts,Winston Salem,NC,4,5,595.0,690.0,565.0,690.0,1236.0
2361,North Carolina State University at Raleigh,Raleigh,NC,4,5,630.0,700.0,640.0,740.0,1361.0
2362,North Carolina Wesleyan University,Rocky Mount,NC,4,5,440.0,560.0,420.0,560.0,984.0
2363,University of North Carolina Wilmington,Wilmington,NC,4,5,610.0,670.0,600.0,660.0,1259.0
2365,William Peace University,Raleigh,NC,3,5,538.0,605.0,540.0,625.0,1165.0
2366,University of North Carolina at Pembroke,Pembroke,NC,4,5,460.0,580.0,430.0,560.0,1003.0
2367,Pfeiffer University,Misenheimer,NC,4,5,448.0,580.0,443.0,585.0,1070.0
2370,Queens University of Charlotte,Charlotte,NC,4,5,530.0,620.0,530.0,618.0,1159.0
2373,Mid-Atlantic Christian University,Elizabeth City,NC,3,5,410.0,580.0,350.0,580.0,957.0
2379,Salem College,Winston-Salem,NC,4,5,555.0,605.0,498.0,595.0,1060.0
2404,Winston-Salem State University,Winston-Salem,NC,4,5,440.0,520.0,440.0,520.0,948.0
2405,Western Carolina University,Cullowhee,NC,4,5,540.0,620.0,520.0,610.0,1125.0
2408,Dickinson State University,Dickinson,ND,4,4,440.0,535.0,483.0,528.0,1014.0
2411,University of Jamestown,Jamestown,ND,4,4,450.0,560.0,450.0,580.0,1062.0
2416,Minot State University,Minot,ND,4,4,480.0,600.0,510.0,600.0,1055.0
2417,University of North Dakota,Grand Forks,ND,4,4,550.0,630.0,560.0,660.0,1154.0
2420,North Dakota State University-Main Campus,Fargo,ND,4,4,538.0,640.0,558.0,673.0,1151.0
2426,Valley City State University,Valley City,ND,4,4,495.0,585.0,440.0,605.0,1051.0
2436,Ashland University,Ashland,OH,4,3,520.0,640.0,530.0,610.0,1137.0
2441,Baldwin Wallace University,Berea,OH,4,3,520.0,630.0,520.0,620.0,1175.0
2445,Bowling Green State University-Main Campus,Bowling Green,OH,4,3,510.0,610.0,510.0,600.0,1131.0
2450,Capital University,Columbus,OH,4,3,510.0,640.0,490.0,620.0,1134.0
2451,Case Western Reserve University,Cleveland,OH,4,3,680.0,740.0,730.0,790.0,1483.0
2452,Cedarville University,Cedarville,OH,4,3,580.0,680.0,540.0,670.0,1235.0
2455,Central State University,Wilberforce,OH,3,3,370.0,480.0,400.0,470.0,899.0
2460,University of Cincinnati-Main Campus,Cincinnati,OH,4,3,570.0,670.0,580.0,680.0,1267.0
2466,Cleveland Institute of Art,Cleveland,OH,3,3,540.0,680.0,500.0,590.0,1142.0
2468,Cleveland State University,Cleveland,OH,4,3,450.0,590.0,450.0,580.0,1114.0
2475,University of Dayton,Dayton,OH,4,3,570.0,660.0,560.0,670.0,1246.0
2476,Defiance College,Defiance,OH,4,3,420.0,560.0,440.0,550.0,1038.0
2477,Denison University,Granville,OH,3,3,610.0,690.0,620.0,740.0,1353.0
2480,The University of Findlay,Findlay,OH,4,3,510.0,613.0,500.0,600.0,1130.0
2489,Heidelberg University,Tiffin,OH,4,3,510.0,592.0,520.0,570.0,1104.0
2496,John Carroll University,University Heights,OH,4,3,570.0,670.0,550.0,670.0,1266.0
2505,Kent State University at Kent,Kent,OH,4,3,500.0,610.0,500.0,600.0,1117.0
2507,Kenyon College,Gambier,OH,3,3,680.0,750.0,660.0,750.0,1443.0
2509,Lake Erie College,Painesville,OH,4,3,450.0,570.0,455.0,560.0,1040.0
2517,Malone University,Canton,OH,4,3,483.0,590.0,510.0,588.0,1085.0
2518,Marietta College,Marietta,OH,4,3,490.0,600.0,460.0,590.0,1082.0
2521,Mercy College of Ohio,Toledo,OH,4,3,378.0,490.0,350.0,440.0,960.0
2525,Miami University-Oxford,Oxford,OH,4,3,580.0,680.0,580.0,690.0,1280.0
2529,University of Mount Union,Alliance,OH,4,3,470.0,580.0,510.0,600.0,1115.0
2530,Mount Vernon Nazarene University,Mount Vernon,OH,4,3,510.0,618.0,510.0,600.0,1120.0
2531,Mount St. Joseph University,Cincinnati,OH,4,3,498.0,580.0,520.0,613.0,1162.0
2539,Notre Dame College,Cleveland,OH,4,3,470.0,570.0,420.0,530.0,1008.0
2542,Oberlin College,Oberlin,OH,4,3,680.0,750.0,658.0,710.0,1419.0
2545,Ohio Northern University,Ada,OH,4,3,540.0,640.0,550.0,660.0,1203.0
