,INSTNM,CITY,STABBR,HIGHDEG,REGION,SATVR25,SATVR75,SATMT25,SATMT75,SAT_AVG_ALL
617,University of Central Florida,Orlando,FL,4,5,600.0,680.0,570.0,670.0,1271.0
626,Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,4,5,570.0,660.0,570.0,670.0,1240.0
627,Florida Agricultural and Mechanical University,Tallahassee,FL,4,5,520.0,590.0,490.0,560.0,1068.0
628,Florida Atlantic University,Boca Raton,FL,4,5,520.0,610.0,500.0,590.0,1119.0
630,Flagler College,Saint Augustine,FL,4,5,510.0,610.0,480.0,570.0,1102.0
631,Florida College,Temple Terrace,FL,3,5,450.0,620.0,450.0,540.0,1091.0
636,Florida Institute of Technology,Melbourne,FL,4,5,570.0,670.0,570.0,670.0,1253.0
638,Florida International University,Miami,FL,4,5,550.0,630.0,510.0,610.0,1155.0
643,Florida Southern College,Lakeland,FL,4,5,590.0,680.0,570.0,655.0,1268.0
644,Florida State University,Tallahassee,FL,4,5,600.0,680.0,580.0,660.0,1280.0
645,University of Florida,Gainesville,FL,4,5,650.0,720.0,650.0,750.0,1385.0
659,Jacksonville University,Jacksonville,FL,4,5,520.0,640.0,500.0,610.0,1135.0
677,University of Miami,Coral Gables,FL,4,5,650.0,720.0,650.0,740.0,1402.0
681,University of North Florida,Jacksonville,FL,4,5,510.0,620.0,490.0,590.0,1113.0
682,Nova Southeastern University,Fort Lauderdale,FL,4,5,530.0,650.0,510.0,660.0,1187.0
685,Palm Beach Atlantic University,West Palm Beach,FL,4,5,520.0,630.0,510.0,610.0,1139.0
698,Saint Leo University,Saint Leo,FL,4,5,470.0,590.0,460.0,560.0,1063.0
708,University of South Florida,Tampa,FL,4,5,580.0,660.0,560.0,670.0,1245.0
709,St. Thomas University,Miami Gardens,FL,4,5,450.0,530.0,410.0,530.0,971.0
710,Stetson University,DeLand,FL,4,5,570.0,650.0,520.0,645.0,1207.0
711,Southeastern University,Lakeland,FL,4,5,500.0,610.0,460.0,573.0,1112.0
717,The University of Tampa,Tampa,FL,4,5,540.0,630.0,530.0,610.0,1184.0
720,Trinity Baptist College,Jacksonville,FL,4,5,453.0,570.0,413.0,530.0,990.0
721,Trinity College of Florida,Trinity,FL,3,5,450.0,530.0,410.0,520.0,984.0
723,Warner University,Lake Wales,FL,4,5,440.0,540.0,390.0,530.0,975.0
727,University of West Florida,Pensacola,FL,4,5,530.0,630.0,510.0,600.0,1164.0
732,Abraham Baldwin Agricultural College,Tifton,GA,3,5,480.0,590.0,460.0,540.0,1026.0
738,Andrew College,Cuthbert,GA,2,5,460.0,600.0,460.0,580.0,1053.0
742,Point University,West Point,GA,4,5,460.0,560.0,430.0,570.0,1004.0
746,Clark Atlanta University,Atlanta,GA,4,5,450.0,543.0,410.0,510.0,970.0
748,Berry College,Mount Berry,GA,4,5,590.0,678.0,530.0,638.0,1267.0
750,Brenau University,Gainesville,GA,4,5,530.0,590.0,470.0,540.0,1107.0
751,Brewton-Parker College,Mount Vernon,GA,3,5,440.0,510.0,440.0,500.0,990.0
752,College of Coastal Georgia,Brunswick,GA,3,5,405.0,520.0,400.0,498.0,965.0
757,Columbus State University,Columbus,GA,4,5,440.0,570.0,430.0,560.0,1043.0
759,Covenant College,Lookout Mountain,GA,4,5,550.0,660.0,520.0,640.0,1222.0
764,Emmanuel University,Franklin Springs,GA,3,5,490.0,590.0,490.0,570.0,1070.0
765,Emory University,Atlanta,GA,4,5,690.0,750.0,730.0,790.0,1480.0
767,Fort Valley State University,Fort Valley,GA,4,5,400.0,480.0,410.0,470.0,921.0
769,Georgia Institute of Technology-Main Campus,Atlanta,GA,4,5,630.0,730.0,680.0,770.0,1423.0
770,Georgia Southwestern State University,Americus,GA,4,5,510.0,610.0,480.0,560.0,1082.0
771,Georgia College & State University,Milledgeville,GA,4,5,550.0,640.0,520.0,620.0,1176.0
772,Georgia Southern University,Statesboro,GA,4,5,500.0,610.0,490.0,590.0,1091.0
773,Georgia State University,Atlanta,GA,4,5,530.0,650.0,520.0,640.0,1165.0
774,University of Georgia,Athens,GA,4,5,640.0,720.0,630.0,730.0,1386.0
775,Gordon State College,Barnesville,GA,3,5,470.0,550.0,430.0,530.0,1010.0
783,Life University,Marietta,GA,4,5,450.0,540.0,440.0,545.0,997.0
786,Mercer University,Macon,GA,4,5,625.0,700.0,595.0,700.0,1338.0
790,Oglethorpe University,Atlanta,GA,3,5,540.0,660.0,530.0,620.0,1223.0
792,Piedmont University,Demorest,GA,4,5,510.0,620.0,500.0,600.0,1129.0
798,Shorter University,Rome,GA,4,5,500.0,600.0,460.0,590.0,1072.0
802,Thomas University,Thomasville,GA,4,5,410.0,630.0,370.0,610.0,1012.0
803,Toccoa Falls College,Toccoa Falls,GA,3,5,510.0,620.0,490.0,560.0,1094.0
804,Truett McConnell University,Cleveland,GA,4,5,540.0,615.0,530.0,590.0,1110.0
806,Valdosta State University,Valdosta,GA,4,5,480.0,590.0,460.0,550.0,1044.0
807,Wesleyan College,Macon,GA,4,5,560.0,630.0,473.0,580.0,1134.0
808,University of West Georgia,Carrollton,GA,4,5,500.0,600.0,440.0,530.0,1058.0
811,University of Hawaii at Hilo,Hilo,HI,4,8,500.0,630.0,500.0,580.0,1040.0
812,University of Hawaii at Manoa,Honolulu,HI,4,8,550.0,660.0,530.0,630.0,1175.0
814,Hawaii Pacific University,Honolulu,HI,4,8,540.0,628.0,530.0,610.0,1183.0
820,University of Hawaii-West Oahu,Kapolei,HI,3,8,500.0,650.0,470.0,570.0,1028.0
823,Boise Bible College,Boise,ID,3,7,440.0,610.0,450.0,590.0,1048.0
827,University of Idaho,Moscow,ID,4,7,500.0,620.0,490.0,600.0,1119.0
828,The College of Idaho,Caldwell,ID,4,7,540.0,638.0,540.0,608.0,1181.0
833,Northwest Nazarene University,Nampa,ID,4,7,490.0,630.0,480.0,600.0,1112.0
835,Brigham Young University-Idaho,Rexburg,ID,3,7,500.0,610.0,490.0,590.0,1129.0
842,Aurora University,Aurora,IL,4,3,480.0,570.0,480.0,560.0,1062.0
846,Blackburn College,Carlinville,IL,3,3,450.0,590.0,438.0,535.0,1020.0
848,Bradley University,Peoria,IL,4,3,530.0,640.0,530.0,640.0,1205.0
861,University of Chicago,Chicago,IL,4,3,740.0,780.0,770.0,800.0,1535.0
877,Eastern Illinois University,Charleston,IL,4,3,460.0,580.0,440.0,560.0,1036.0
879,Elmhurst University,Elmhurst,IL,4,3,503.0,620.0,510.0,600.0,1145.0
880,Eureka College,Eureka,IL,3,3,450.0,575.0,420.0,580.0,1017.0
885,Governors State University,University Park,IL,4,3,420.0,540.0,410.0,520.0,951.0
887,Greenville University,Greenville,IL,4,3,460.0,590.0,440.0,580.0,1008.0
894,University of Illinois Chicago,Chicago,IL,4,3,540.0,650.0,540.0,660.0,1212.0
895,Benedictine University,Lisle,IL,4,3,520.0,630.0,530.0,650.0,1168.0
897,University of Illinois Urbana-Champaign,Champaign,IL,4,3,640.0,730.0,680.0,780.0,1422.0
898,Illinois Wesleyan University,Bloomington,IL,3,3,580.0,670.0,530.0,640.0,1239.0
900,Illinois College,Jacksonville,IL,3,3,480.0,590.0,470.0,560.0,1063.0
902,Illinois Institute of Technology,Chicago,IL,4,3,600.0,680.0,630.0,730.0,1328.0
903,Illinois State University,Normal,IL,4,3,510.0,610.0,490.0,590.0,1125.0
909,Judson University,Elgin,IL,4,3,455.0,575.0,455.0,565.0,1054.0
913,Knox College,Galesburg,IL,3,3,590.0,700.0,560.0,680.0,1276.0
916,Lake Forest College,Lake Forest,IL,4,3,570.0,665.0,560.0,680.0,1271.0
921,Lewis University,Romeoville,IL,4,3,520.0,610.0,530.0,630.0,1147.0
923,Lincoln College,Lincoln,IL,3,3,370.0,420.0,340.0,380.0,776.0
926,Loyola University Chicago,Chicago,IL,4,3,590.0,690.0,570.0,670.0,1311.0
935,Methodist College,Peoria,IL,4,3,410.0,600.0,390.0,560.0,980.0
936,Millikin University,Decatur,IL,4,3,490.0,600.0,470.0,590.0,1106.0
937,Monmouth College,Monmouth,IL,3,3,540.0,640.0,540.0,660.0,1210.0
945,North Central College,Naperville,IL,4,3,520.0,620.0,510.0,610.0,1156.0
946,North Park University,Chicago,IL,4,3,450.0,582.0,440.0,580.0,1055.0
949,Northwestern University,Evanston,IL,4,3,720.0,770.0,750.0,800.0,1529.0
953,Olivet Nazarene University,Bourbonnais,IL,4,3,490.0,610.0,480.0,590.0,1105.0
956,Principia College,Elsah,IL,3,3,518.0,593.0,510.0,600.0,1138.0
958,Quincy University,Quincy,IL,4,3,530.0,610.0,530.0,630.0,1162.0
962,Rockford University,Rockford,IL,4,3,440.0,570.0,440.0,550.0,1014.0
963,Roosevelt University,Chicago,IL,4,3,440.0,570.0,420.0,550.0,1030.0
964,Dominican University,River Forest,IL,4,3,460.0,580.0,450.0,580.0,1060.0
967,University of St Francis,Joliet,IL,4,3,470.0,580.0,450.0,590.0,1060.0
970,University of Illinois Springfield,Springfield,IL,4,3,510.0,640.0,480.0,610.0,1140.0
981,Southern Illinois University-Carbondale,Carbondale,IL,4,3,480.0,590.0,450.0,570.0,1086.0
982,Southern Illinois University-Edwardsville,Edwardsville,IL,4,3,470.0,590.0,450.0,570.0,1072.0
987,Trinity Christian College,Palos Heights,IL,4,3,490.0,610.0,460.0,610.0,1122.0
988,Trinity International University-Illinois,Deerfield,IL,4,3,510.0,560.0,470.0,560.0,1038.0
995,Wheaton College,Wheaton,IL,4,3,610.0,710.0,640.0,720.0,1351.0
997,Anderson University,Anderson,IN,4,3,480.0,580.0,480.0,580.0,1070.0
